Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0002,61.2527,space,61.1754,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,82.3609,85.3707,85.3904,136.0909,space,50.6192,,137.0855,137.354,137.3544,139.3577,practice1,,0,0,0,0,39,1,0,bottom_right,threatening,no_target,,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,140.3654,140.6217,140.6218,142.6176,practice1,,0,0,1,1,32,1,0,top_right,friendly,no_target,,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,143.6163,143.8772,143.8773,145.8838,practice1,,0,0,2,2,29,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,146.8721,147.1298,147.1299,149.1209,practice1,j,1,0,3,3,8,1,1,bottom_left,neutral,threatening,1.1787,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,150.116,150.379,150.3791,152.3576,practice1,,0,0,4,4,15,1,1,centre,threatening,neutral,,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,153.3616,153.6236,153.6238,155.6201,practice1,j,1,0,5,5,17,1,1,top_right,threatening,neutral,1.1515,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,156.6274,156.8903,156.8904,158.8975,practice1,f,1,0,6,6,20,1,0,centre,neutral,no_target,1.604,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,159.9031,160.1498,160.1501,162.1515,practice1,j,1,0,7,7,19,1,1,bottom_right,threatening,neutral,0.6245,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,163.1468,163.4072,163.4073,165.4022,practice1,j,0,0,8,8,30,1,0,centre,friendly,no_target,1.6419,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,166.3952,166.6557,166.6559,168.6613,practice1,,0,0,9,9,37,1,0,top_right,threatening,no_target,,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,169.6415,169.9002,169.9004,171.8849,practice1,,0,0,10,10,35,1,0,centre,threatening,no_target,,,,,,,,,,,,,,,,,,
,,,,,275059,f,y,r,n,13,0,2025-04-01_20h42.48.210,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,172.9038,173.1638,173.1639,175.1706,practice1,j,1,0,11,11,9,1,1,bottom_right,neutral,threatening,0.9185,,,,,,,,,,,,,,,,,
