Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0,37.242,space,37.201,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,58.351,61.367,61.377,82.767,space,21.358,,83.769,84.034,84.034,86.034,practice1,,0,0,0,0,36,1,0,top_left,threatening,no_target,,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,87.034,87.3,87.3,89.3,practice1,f,0,0,1,1,0,1,1,centre,neutral,friendly,0.493,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,90.301,90.566,90.566,92.567,practice1,j,0,0,2,2,39,1,0,bottom_right,threatening,no_target,0.368,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,93.567,93.834,93.834,95.833,practice1,f,1,0,3,3,32,1,0,top_right,friendly,no_target,0.383,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,96.834,97.1,97.1,99.1,practice1,f,1,0,4,4,30,1,0,centre,friendly,no_target,0.349,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,100.101,100.366,100.366,102.367,practice1,f,1,0,5,5,37,1,0,top_right,threatening,no_target,0.3,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,103.368,103.633,103.633,105.634,practice1,f,1,0,6,6,22,1,0,top_right,neutral,no_target,0.435,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,106.634,106.9,106.9,108.9,practice1,j,1,0,7,7,10,1,1,centre,friendly,neutral,0.349,,,,,,,,,,,,,,,,,
,,,,,370533,m,y,r,n,13,0,2025-04-05_22h21.26.349,VisualSearchFaces,2024.2.4,MacIntel,62.5,,,,,,,,109.901,110.167,110.167,112.167,practice1,j,1,0,8,8,4,1,1,bottom_right,neutral,friendly,1.085,,,,,,,,,,,,,,,,,
