Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0001,10.3733,space,10.3625,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,31.4919,34.5069,34.5146,49.0253,space,14.4826,,50.0258,50.2909,50.291,52.2912,practice1,,0,0,0,0,26,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,53.2921,53.5566,53.5567,55.5572,practice1,j,1,0,1,1,2,1,1,top_right,neutral,friendly,0.4523,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,56.5591,56.824,56.8241,58.8239,practice1,j,1,0,2,2,1,1,1,top_left,neutral,friendly,0.6508,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,59.825,60.0743,60.0744,62.0743,practice1,f,1,0,3,3,27,1,0,top_right,neutral,no_target,0.5784,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,63.0757,63.3409,63.341,65.3409,practice1,f,0,0,4,4,3,1,1,bottom_left,neutral,friendly,0.5178,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,66.3425,66.5912,66.5912,68.5912,practice1,j,0,0,5,5,39,1,0,bottom_right,threatening,no_target,0.9656,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,69.5923,69.8411,69.8411,71.8409,practice1,j,0,0,6,6,25,1,0,centre,neutral,no_target,0.8457,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,72.8418,73.1077,73.1077,75.1078,practice1,j,0,0,7,7,36,1,0,top_left,threatening,no_target,0.6464,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,76.1089,76.3581,76.3581,78.3579,practice1,f,0,0,8,8,11,1,1,top_left,friendly,neutral,0.7772,,,,,,,,,,,,,,,,,
,,,,,253617,m,y,l,n,12,0,2025-04-04_11h06.44.039,VisualSearchFaces,2024.2.4,MacIntel,59.88023952,,,,,,,,79.3582,79.608,79.608,81.6079,practice1,f,0,0,9,9,10,1,1,centre,friendly,neutral,0.9264,,,,,,,,,,,,,,,,,
