Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0006,44.2306,space,44.2037,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,65.3516,68.3648,68.3696,98.1452,space,29.7514,,99.1463,99.4111,99.4112,101.4103,practice1,,0,0,0,0,18,1,1,bottom_left,threatening,neutral,,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,102.4107,102.6749,102.675,104.674,practice1,f,1,0,1,1,34,1,0,bottom_right,friendly,no_target,1.682,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,105.6749,105.9397,105.9397,107.9384,practice1,f,1,0,2,2,36,1,0,top_left,threatening,no_target,0.9993,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,108.9387,109.2037,109.2037,111.2031,practice1,f,1,0,3,3,30,1,0,centre,friendly,no_target,0.9211,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,112.2037,112.4685,112.4685,114.4672,practice1,j,1,0,4,4,15,1,1,centre,threatening,neutral,0.6692,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,115.4682,115.7328,115.7328,117.732,practice1,f,1,0,5,5,23,1,0,bottom_left,neutral,no_target,0.6212,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,118.7325,118.998,118.998,120.9966,practice1,f,1,0,6,6,35,1,0,centre,threatening,no_target,0.6005,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,121.997,122.2626,122.2627,124.2607,practice1,f,0,0,7,7,9,1,1,bottom_right,neutral,threatening,0.5489,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,125.2615,125.5264,125.5264,127.5254,practice1,f,1,0,8,8,22,1,0,top_right,neutral,no_target,0.4498,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,128.5256,128.775,128.775,130.7731,practice1,j,1,0,9,9,4,1,1,bottom_right,neutral,friendly,0.2164,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,131.7736,132.039,132.0391,134.0381,practice1,j,1,0,10,10,0,1,1,centre,neutral,friendly,0.5658,,,,,,,,,,,,,,,,,
,,,,,900032,f,y,r,y,12,0,2025-04-03_13h01.10.119,VisualSearchFaces,2024.2.4,MacIntel,59.17159763,,,,,,,,135.0374,135.2877,135.2877,137.2865,practice1,j,1,0,11,11,17,1,1,top_right,threatening,neutral,0.9491,,,,,,,,,,,,,,,,,
