Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,keyboard_response.rt,keyboard_response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0002,133.7632,space,133.7372,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,154.875,157.8904,157.895,214.6879,space,56.7779,,215.6897,215.9544,215.9545,217.9541,practice1,j,1,1.8163,,0,0,0,19,1,1,bottom_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,218.9552,219.2208,219.2208,221.2205,practice1,f,1,0.4774,,0,1,1,23,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,222.2215,222.487,222.487,224.4868,practice1,f,1,0.3754,,0,2,2,24,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,225.4887,225.7534,225.7535,227.7534,practice1,f,1,0.2677,,0,3,3,20,1,0,centre,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,228.7551,229.02,229.0201,231.0201,practice1,j,1,0.5765,,0,4,4,12,1,1,top_right,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,232.0217,232.2865,232.2866,234.2864,practice1,j,1,0.6329,,0,5,5,11,1,1,top_left,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,235.2879,235.5369,235.5369,237.5364,practice1,f,1,0.9199,,0,6,6,33,1,0,bottom_left,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,238.5379,238.8028,238.8029,240.8027,practice1,j,1,0.6456,,0,7,7,8,1,1,bottom_left,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,356794,f,y,r,n,13,0,2025-04-06_19h19.02.624,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,241.8042,242.0695,242.0695,244.0692,practice1,f,1,0.6603,,0,8,8,22,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
