Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0008,57.2532,space,57.161,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,78.4074,81.421,81.4318,109.4083,space,27.9418,,110.4102,110.6731,110.6734,112.6735,practice1,,0,0,0,0,23,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,113.6765,113.9397,113.9398,115.9399,practice1,j,1,0,1,1,1,1,1,top_left,neutral,friendly,1.2059,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,116.9429,117.2067,117.2068,119.2066,practice1,j,1,0,2,2,15,1,1,centre,threatening,neutral,1.6729,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,120.209,120.4735,120.4736,122.4737,practice1,j,1,0,3,3,12,1,1,top_right,friendly,neutral,1.4335,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,123.4765,123.7241,123.7242,125.7245,practice1,f,1,0,4,4,37,1,0,top_right,threatening,no_target,1.1699,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,126.726,126.9748,126.9749,128.9739,practice1,f,1,0,5,5,29,1,0,bottom_right,neutral,no_target,0.3825,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,129.9766,130.2408,130.2409,132.2408,practice1,f,1,0,6,6,20,1,0,centre,neutral,no_target,0.3666,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,133.2433,133.4917,133.4918,135.4912,practice1,j,1,0,7,7,17,1,1,top_right,threatening,neutral,0.3972,,,,,,,,,,,,,,,,,
,,,,,438778,f,y,r,n,14,0,2025-04-03_14h12.11.190,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,136.4939,136.758,136.758,138.7582,practice1,f,1,0,8,8,22,1,0,top_right,neutral,no_target,0.3197,,,,,,,,,,,,,,,,,
