Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0005,138.3642,space,138.2658,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,159.4935,162.5055,162.5161,216.0738,space,53.5233,,217.0773,217.3291,217.3294,219.3229,practice1,,0,0,0,0,17,1,1,top_right,threatening,neutral,,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,220.3263,220.5885,220.5886,222.5763,practice1,,0,0,1,1,24,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,223.5921,223.8381,223.8383,225.8376,practice1,,0,0,2,2,31,1,0,top_left,friendly,no_target,,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,226.8422,227.1033,227.1036,229.1028,practice1,f,0,0,3,3,8,1,1,bottom_left,neutral,threatening,0.8175,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,230.1077,230.3691,230.3692,232.3681,practice1,f,0,0,4,4,13,1,1,bottom_left,friendly,neutral,0.2284,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,233.371,233.6183,233.6184,235.6174,practice1,f,0,0,5,5,18,1,1,bottom_left,threatening,neutral,0.4504,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,236.6221,236.884,236.8841,238.8836,practice1,,0,0,6,6,38,1,0,bottom_left,threatening,no_target,,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,239.8874,240.1496,240.1499,242.1491,practice1,j,1,0,7,7,9,1,1,bottom_right,neutral,threatening,0.5495,,,,,,,,,,,,,,,,,
,,,,,330768,f,y,r,n,14,0,2025-04-06_19h19.01.793,VisualSearchFaces,2024.2.4,Win32,59.17159763,,,,,,,,243.1541,243.4153,243.4154,245.4147,practice1,f,1,0,8,8,34,1,0,bottom_right,friendly,no_target,0.4538,,,,,,,,,,,,,,,,,
