Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.001,55.1096,space,55.0173,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,76.2397,79.2435,79.2581,128.5405,space,49.2195,,129.5472,129.8027,129.803,131.7846,practice1,,0,0,0,0,15,1,1,centre,threatening,neutral,,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,132.8027,133.0591,133.0591,135.0587,practice1,j,1,0,1,1,18,1,1,bottom_left,threatening,neutral,0.637,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,136.0681,136.3312,136.3313,138.3159,practice1,j,1,0,2,2,7,1,1,top_right,neutral,threatening,0.3768,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,139.345,139.6063,139.6065,141.611,practice1,j,1,0,3,3,12,1,1,top_right,friendly,neutral,1.0201,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,142.607,142.8588,142.8591,144.8641,practice1,f,1,0,4,4,23,1,0,bottom_left,neutral,no_target,0.2305,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,145.8652,146.1108,146.111,148.0987,practice1,f,0,0,5,5,4,1,1,bottom_right,neutral,friendly,0.2394,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,149.1146,149.373,149.373,151.3663,practice1,j,0,0,6,6,31,1,0,top_left,friendly,no_target,0.5148,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,152.3841,152.646,152.646,154.6403,practice1,j,0,0,7,7,37,1,0,top_right,threatening,no_target,0.5746,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,155.652,155.9049,155.905,157.8949,practice1,j,1,0,8,8,6,1,1,top_left,neutral,threatening,0.6989,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,158.9102,159.1707,159.1709,161.1659,practice1,f,1,0,9,9,24,1,0,bottom_right,neutral,no_target,0.5766,,,,,,,,,,,,,,,,,
,,,,,049528,m,y,l,n,11,0,2025-04-05_11h30.12.362,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,162.1671,162.423,162.4232,164.4194,practice1,j,0,0,10,10,25,1,0,centre,neutral,no_target,1.1057,,,,,,,,,,,,,,,,,
