Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0005,155.2556,space,155.2283,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,176.4075,179.4178,179.4308,227.9622,space,48.5005,,228.9679,229.2283,229.2285,231.229,practice1,,0,0,0,0,12,1,1,top_right,friendly,neutral,,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,232.2325,232.4947,232.4948,234.4946,practice1,j,0,0,1,1,35,1,0,centre,threatening,no_target,0.9503,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,235.499,235.7607,235.7608,237.7607,practice1,j,1,0,2,2,18,1,1,bottom_left,threatening,neutral,0.6675,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,238.765,239.027,239.0271,241.0266,practice1,f,1,0,3,3,39,1,0,bottom_right,threatening,no_target,0.6344,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,242.0319,242.2933,242.2935,244.2925,practice1,j,1,0,4,4,11,1,1,top_left,friendly,neutral,0.8662,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,245.2947,245.5713,245.5714,247.5591,practice1,f,1,0,5,5,28,1,0,bottom_left,neutral,no_target,0.6727,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,248.5787,248.8422,248.8422,250.8421,practice1,j,0,0,6,6,34,1,0,bottom_right,friendly,no_target,0.7006,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,251.8454,252.1088,252.1088,254.1082,practice1,j,1,0,7,7,5,1,1,centre,neutral,threatening,0.9828,,,,,,,,,,,,,,,,,
,,,,,628441,f,y,r,y,11,0,2025-04-05_16h09.02.936,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,255.1103,255.3745,255.3746,257.3749,practice1,f,0,0,8,8,17,1,1,top_right,threatening,neutral,0.6162,,,,,,,,,,,,,,,,,
