Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,keyboard_response.rt,keyboard_response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0003,34.4515,space,34.4095,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,55.5608,58.5603,58.5747,79.5264,space,20.9293,,80.5285,80.793,80.7932,82.7937,practice1,j,1,0.7328,,0,0,0,0,1,1,centre,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,83.7946,84.0599,84.0599,86.0598,practice1,j,1,0.9047,,0,1,1,4,1,1,bottom_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,87.0611,87.3103,87.3103,89.3097,practice1,f,1,1.0674,,0,2,2,20,1,0,centre,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,90.3113,90.5771,90.5771,92.5761,practice1,j,1,0.4661,,0,3,3,1,1,1,top_left,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,93.5773,93.8271,93.8271,95.8271,practice1,f,1,0.6676,,0,4,4,37,1,0,top_right,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,96.8281,97.0928,97.0928,99.093,practice1,j,1,0.9335,,0,5,5,8,1,1,bottom_left,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,100.0945,100.3596,100.3596,102.3598,practice1,j,1,0.8335,,0,6,6,13,1,1,bottom_left,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,103.3605,103.6103,103.6103,105.61,practice1,f,1,0.7175,,0,7,7,23,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,106.6113,106.8763,106.8763,108.8761,practice1,f,1,0.8162,,0,8,8,27,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,109.8786,110.1271,110.1271,112.1273,practice1,j,1,0.8648,,0,9,9,10,1,1,centre,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,113.1286,113.3771,113.3772,115.3768,practice1,f,1,0.6716,,0,10,10,36,1,0,top_left,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,116.3785,116.6436,116.6437,118.6432,practice1,f,1,0.767,,0,11,11,32,1,0,top_right,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,119.6445,119.9104,119.9104,121.91,practice1,f,1,0.9182,,0,12,12,38,1,0,bottom_left,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,122.9106,123.1603,123.1603,125.1611,practice1,f,1,0.6338,,0,13,13,25,1,0,centre,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,126.1615,126.4269,126.4269,128.4263,practice1,f,1,1.5001,,0,14,14,33,1,0,bottom_left,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,129.4286,129.6939,129.6939,131.6934,practice1,j,1,0.599,,0,15,15,11,1,1,top_left,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,132.6944,132.9432,132.9432,134.9429,practice1,f,1,0.5171,,0,16,16,29,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,135.9446,136.1939,136.1939,138.1935,practice1,j,1,0.9681,,0,17,17,5,1,1,centre,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,139.1942,139.4437,139.4438,141.4438,practice1,j,1,0.7832,,0,18,18,15,1,1,centre,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,142.4457,142.7108,142.7108,144.7109,practice1,f,1,1.1354,,0,19,19,35,1,0,centre,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,796503,f,y,r,n,13,0,2025-04-03_20h38.46.651,VisualSearchFaces,2024.2.4,MacIntel,58.82352941,,,,,,,,145.7124,145.9775,145.9775,147.9768,practice1,f,1,1.1162,,0,20,20,21,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,
