Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,keyboard_response.rt,keyboard_response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0005,2.1632,space,1.9886,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,23.2983,26.3125,26.3224,29.8756,space,3.5194,,30.8833,31.1305,31.1308,33.129,practice1,j,1,0.6176,,0,0,0,3,1,1,bottom_left,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,34.131,34.3789,34.3791,36.3787,practice1,j,1,0.5016,,0,1,1,12,1,1,top_right,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,37.3813,37.6458,37.646,39.6421,practice1,j,1,0.6193,,0,2,2,17,1,1,top_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,40.648,40.9123,40.9123,42.9123,practice1,f,1,0.4143,,0,3,3,38,1,0,bottom_left,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,43.9088,44.1624,44.1625,46.152,practice1,j,1,0.3205,,0,4,4,18,1,1,bottom_left,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,47.1629,47.4126,47.4126,49.4119,practice1,j,1,0.3129,,0,5,5,10,1,1,centre,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,50.4077,50.662,50.6621,52.6579,practice1,f,1,0.3619,,0,6,6,26,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,53.6659,53.9135,53.9136,55.9062,practice1,f,1,0.3182,,0,7,7,24,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,56.9295,57.1787,57.1788,59.1924,practice1,j,1,0.3162,,0,8,8,15,1,1,centre,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,60.1816,60.4315,60.4315,62.4286,practice1,f,1,0.4796,,0,9,9,22,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,63.431,63.6952,63.6954,65.6905,practice1,f,1,0.3845,,0,10,10,27,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,66.6993,66.9574,66.9575,68.9581,practice1,j,1,0.4679,,0,11,11,19,1,1,bottom_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,69.966,70.212,70.2121,72.2121,practice1,j,1,0.4023,,0,12,12,7,1,1,top_right,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,73.2155,73.4829,73.483,75.4792,practice1,j,1,0.3026,,0,13,13,2,1,1,top_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,252125,m,y,r,n,12,0,2025-04-06_10h17.34.373,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,76.4843,76.7458,76.7459,78.7447,practice1,f,1,0.3353,,0,14,14,20,1,0,centre,neutral,no_target,,,,,,,,,,,,,,,,
