Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,keyboard_response.rt,keyboard_response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0016,51.9384,space,51.8492,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,73.1204,76.1275,76.1422,90.3478,space,14.17,,91.3539,91.615,91.6156,93.625,practice1,j,0,1.3014,,0,0,0,33,1,0,bottom_left,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,94.6206,94.8807,94.8809,96.8797,practice1,j,1,1.1333,,0,1,1,19,1,1,bottom_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,97.8864,98.1469,98.1471,100.1459,practice1,j,1,0.5189,,0,2,2,2,1,1,top_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,101.1504,101.3964,101.3965,103.3961,practice1,j,1,0.7679,,0,3,3,7,1,1,top_right,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,104.4025,104.6631,104.6632,106.6618,practice1,j,1,0.5966,,0,4,4,4,1,1,bottom_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,107.6661,107.9285,107.9286,109.9281,practice1,j,1,0.7699,,0,5,5,17,1,1,top_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,110.9367,111.1949,111.1952,113.1945,practice1,,0,,,0,6,6,21,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,114.1981,114.4615,114.4616,116.4609,practice1,,0,,,0,7,7,28,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,117.4666,117.7272,117.7273,119.7269,practice1,j,0,0.9181,,0,8,8,39,1,0,bottom_right,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,120.7338,120.9948,120.9951,122.9931,practice1,f,1,1.7335,,0,9,9,31,1,0,top_left,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,123.9976,124.2596,124.2597,126.2593,practice1,f,1,1.4895,,0,10,10,25,1,0,centre,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,127.2623,127.5262,127.5262,129.5259,practice1,f,0,1.5002,,0,11,11,11,1,1,top_left,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,130.5294,130.7922,130.7922,132.7921,practice1,j,1,0.6181,,0,12,12,5,1,1,centre,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,133.7959,134.0501,134.0502,136.0415,practice1,j,1,1.101,,0,13,13,14,1,1,bottom_right,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,137.0477,137.3084,137.3084,139.3077,practice1,j,1,0.6992,,0,14,14,10,1,1,centre,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,140.3115,140.5742,140.5743,142.574,practice1,j,1,0.6516,,0,15,15,9,1,1,bottom_right,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,143.5805,143.8413,143.8414,145.8408,practice1,f,1,0.8509,,0,16,16,22,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,146.8456,147.1072,147.1073,149.1064,practice1,f,1,0.8352,,0,17,17,29,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,150.1103,150.3732,150.3733,152.3729,practice1,,0,,,0,18,18,30,1,0,centre,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,153.3767,153.6394,153.6395,155.6392,practice1,f,1,0.3676,,0,19,19,36,1,0,top_left,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,156.6431,156.9059,156.9059,158.9058,practice1,f,1,0.8202,,0,20,20,26,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,159.9112,160.172,160.1721,162.1718,practice1,j,1,1.2005,,0,21,21,12,1,1,top_right,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,163.1762,163.4385,163.4386,165.438,practice1,j,1,0.3108,,0,22,22,1,1,1,top_left,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,166.4424,166.7045,166.7046,168.7041,practice1,f,1,1.7028,,0,23,23,24,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,169.7087,169.9709,169.9709,171.9706,practice1,j,1,1.2153,,0,24,24,13,1,1,bottom_left,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,172.9757,173.2373,173.2374,175.2368,practice1,j,1,1.3339,,0,25,25,16,1,1,top_left,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,176.2456,176.5037,176.5038,178.5034,practice1,f,1,1.3358,,0,26,26,34,1,0,bottom_right,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,179.5066,179.7695,179.7696,181.7695,practice1,j,0,1.6433,,0,27,27,37,1,0,top_right,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,182.7763,183.0365,183.0366,185.036,practice1,j,1,1.0187,,0,28,28,3,1,1,bottom_left,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,186.0416,186.303,186.3031,188.3023,practice1,f,1,1.5965,,0,29,29,23,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,189.305,189.5685,189.5685,191.5681,practice1,f,1,0.8837,,0,30,30,35,1,0,centre,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,192.5718,192.8346,192.8346,194.8343,practice1,j,1,1.1503,,0,31,31,0,1,1,centre,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,195.8376,196.1009,196.1011,198.1006,practice1,f,1,1.0752,,0,32,32,27,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,199.1081,199.3671,199.3672,201.367,practice1,j,1,1.1517,,0,33,33,6,1,1,top_left,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,202.3711,202.6335,202.6337,204.6333,practice1,j,1,0.6881,,0,34,34,15,1,1,centre,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,205.6397,205.9001,205.9002,207.8999,practice1,j,0,0.87,,0,35,35,38,1,0,bottom_left,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,208.9064,209.166,209.166,211.1658,practice1,f,1,1.4021,,0,36,36,20,1,0,centre,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,212.1732,212.4327,212.4328,214.4319,practice1,j,1,0.7853,,0,37,37,8,1,1,bottom_left,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,215.4375,215.6989,215.699,217.6986,practice1,j,1,0.9678,,0,38,38,18,1,1,bottom_left,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,218.7067,218.965,218.965,220.9597,practice1,,0,,,0,39,39,32,1,0,top_right,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,231.3586,243.2904,space,11.8718,,244.2819,244.3949,244.3949,246.3946,practice2,,0,,,0,0,0,27,1,0,top_right,neutral,no_target,220.9625,231.3479,space,10.344,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,247.3988,247.4952,247.4952,249.4942,practice2,,0,,,0,1,1,32,1,0,top_right,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,250.5005,250.6149,250.615,252.6109,practice2,j,1,0.7818,,0,2,2,18,1,1,bottom_left,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,253.6193,253.7113,253.7113,255.71,practice2,f,1,1.3529,,0,3,3,31,1,0,top_left,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,256.7183,256.8454,256.8454,258.8432,practice2,j,0,1.3514,,0,4,4,38,1,0,bottom_left,threatening,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,259.8466,259.9596,259.9596,261.9598,practice2,j,1,0.836,,0,5,5,17,1,1,top_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,262.9659,263.0764,263.0766,265.0666,practice2,j,1,1.0681,,0,6,6,16,1,1,top_left,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,266.0814,266.2413,266.2413,268.2421,practice2,f,1,1.0009,,0,7,7,28,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,269.2464,269.3585,269.3585,271.369,practice2,f,1,1.9722,,0,8,8,30,1,0,centre,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,272.3615,272.4748,272.4749,274.4744,practice2,j,1,0.7506,,0,9,9,4,1,1,bottom_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,275.4806,275.5916,275.5917,277.5912,practice2,j,1,0.6196,,0,10,10,2,1,1,top_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,278.5975,278.7077,278.7078,280.7075,practice2,f,1,0.901,,0,11,11,26,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,281.7129,281.8239,281.824,283.8233,practice2,f,1,0.7672,,0,12,12,22,1,0,top_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,284.827,284.9399,284.94,286.9395,practice2,j,1,0.7,,0,13,13,8,1,1,bottom_left,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,287.9432,288.0562,288.0562,290.0563,practice2,f,0,1.402,,0,14,14,19,1,1,bottom_right,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,291.0606,291.1581,291.1582,293.156,practice2,j,0,1.3811,,0,15,15,34,1,0,bottom_right,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,294.1601,294.2724,294.2725,296.2725,practice2,j,1,1.2985,,0,16,16,11,1,1,top_left,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,297.2768,297.3885,297.3885,299.389,practice2,f,1,0.8692,,0,17,17,29,1,0,bottom_right,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,275870,f,y,r,n,12,0,2025-04-04_19h40.13.729,VisualSearchFaces,2024.2.4,Win32,59.88023952,,,,,,,,300.3935,300.5184,300.5184,302.5209,practice2,f,1,1.7533,,0,18,18,36,1,0,top_left,threatening,no_target,,,,,,,,,,,,,,,,
