Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0006,64.9609,space,64.9185,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,86.1103,89.1213,89.1354,137.7325,space,48.5582,,138.7343,138.9989,138.9995,140.9988,practice1,,0,0,0,0,8,1,1,bottom_left,neutral,threatening,,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,142.0029,142.261,142.2611,144.264,practice1,,0,0,1,1,23,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,145.2669,145.5308,145.5308,147.5307,practice1,j,1,0,2,2,11,1,1,top_left,friendly,neutral,0.5505,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,148.533,148.7973,148.7975,150.7969,practice1,f,1,0,3,3,31,1,0,top_left,friendly,no_target,0.4351,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,151.8021,152.0635,152.0637,154.0632,practice1,f,1,0,4,4,27,1,0,top_right,neutral,no_target,0.584,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,155.066,155.3299,155.3301,157.3295,practice1,f,1,0,5,5,22,1,0,top_right,neutral,no_target,0.5178,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,158.3345,158.596,158.596,160.5956,practice1,f,1,0,6,6,39,1,0,bottom_right,threatening,no_target,0.8804,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,161.6003,161.8622,161.8623,163.862,practice1,j,1,0,7,7,5,1,1,centre,neutral,threatening,0.5671,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,164.866,165.1285,165.1286,167.1284,practice1,f,1,0,8,8,26,1,0,top_left,neutral,no_target,0.6354,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,168.1287,168.3783,168.3783,170.3779,practice1,j,1,0,9,9,12,1,1,top_right,friendly,neutral,0.6445,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,171.3835,171.6444,171.6446,173.6439,practice1,f,1,0,10,10,29,1,0,bottom_right,neutral,no_target,0.5015,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,174.647,174.9106,174.9107,176.9104,practice1,f,1,0,11,11,20,1,0,centre,neutral,no_target,0.5027,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,177.9147,178.1768,178.177,180.1766,practice1,j,1,0,12,12,18,1,1,bottom_left,threatening,neutral,0.5341,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,181.182,181.429,181.4291,183.4263,practice1,j,1,0,13,13,9,1,1,bottom_right,neutral,threatening,0.4506,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,184.4307,184.691,184.6911,186.6897,practice1,j,1,0,14,14,6,1,1,top_left,neutral,threatening,0.417,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,187.6925,187.9424,187.9425,189.942,practice1,j,1,0,15,15,10,1,1,centre,friendly,neutral,1.9506,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,190.9467,191.2088,191.2089,193.2085,practice1,j,1,0,16,16,14,1,1,bottom_right,friendly,neutral,0.5007,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,194.213,194.4749,194.475,196.4747,practice1,f,1,0,17,17,30,1,0,centre,friendly,no_target,0.4493,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,197.4813,197.7249,197.725,199.7243,practice1,j,1,0,18,18,1,1,1,top_left,neutral,friendly,0.4835,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,200.7291,200.9909,200.991,202.9904,practice1,f,1,0,19,19,24,1,0,bottom_right,neutral,no_target,0.4001,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,203.9952,204.2569,204.257,206.2567,practice1,f,1,0,20,20,35,1,0,centre,threatening,no_target,0.5506,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,207.2619,207.5234,207.5234,209.5229,practice1,j,1,0,21,21,19,1,1,bottom_right,threatening,neutral,0.5,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,210.5281,210.7896,210.7898,212.7894,practice1,f,1,0,22,22,25,1,0,centre,neutral,no_target,0.5336,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,213.7943,214.0541,214.0541,216.053,practice1,f,1,0,23,23,34,1,0,bottom_right,friendly,no_target,0.6841,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,217.0581,217.3059,217.306,219.3052,practice1,j,1,0,24,24,3,1,1,bottom_left,neutral,friendly,0.4667,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,220.3106,220.558,220.5581,222.5547,practice1,j,1,0,25,25,7,1,1,top_right,neutral,threatening,0.4309,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,223.5595,223.8052,223.8053,225.8042,practice1,f,1,0,26,26,38,1,0,bottom_left,threatening,no_target,0.5834,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,226.8083,227.0709,227.071,229.0706,practice1,f,1,0,27,27,37,1,0,top_right,threatening,no_target,0.7004,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,230.075,230.3211,230.3212,232.3202,practice1,j,0,0,28,28,32,1,0,top_right,friendly,no_target,0.6663,,,,,,,,,,,,,,,,,
,,,,,799384,m,y,r,n,14,0,2025-04-05_15h35.03.235,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,233.3246,233.5797,233.5798,235.5695,practice1,j,1,0,29,29,13,1,1,bottom_left,friendly,neutral,0.5075,,,,,,,,,,,,,,,,,
