Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,keyboard_response.rt,keyboard_response.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0003,130.6576,space,130.5988,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,151.8926,154.8975,154.9121,214.0054,space,59.016,,215.0031,215.2892,215.2898,217.2927,practice1,j,1,1.7652,,0,0,0,7,1,1,top_right,neutral,threatening,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,218.2844,218.5645,218.5645,220.5542,practice1,f,1,1.4585,,0,1,1,23,1,0,bottom_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,221.5489,221.8201,221.8203,223.8006,practice1,,0,,,0,2,2,33,1,0,bottom_left,friendly,no_target,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,224.7969,225.0754,225.0757,227.0742,practice1,j,1,0.449,,0,3,3,2,1,1,top_right,neutral,friendly,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,228.0751,228.3642,228.3646,230.3411,practice1,j,1,0.9454,,0,4,4,14,1,1,bottom_right,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,231.3405,231.6104,231.6106,233.5772,practice1,f,1,0.6539,,0,5,5,26,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,234.6029,234.8893,234.8895,236.8879,practice1,j,1,1.0206,,0,6,6,10,1,1,centre,friendly,neutral,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,237.8981,238.1749,238.1752,240.1587,practice1,j,1,1.0566,,0,7,7,15,1,1,centre,threatening,neutral,,,,,,,,,,,,,,,,
,,,,,309681,M,y,r,n,11,0,2025-04-05_21h29.16.585,VisualSearchFaces,2024.2.4,Win32,60.24096386,,,,,,,,241.1819,241.4508,241.451,243.4417,practice1,f,0,0.5102,,0,8,8,16,1,1,top_left,threatening,neutral,,,,,,,,,,,,,,,,
