Welcome.started,Welcome.stopped,keyboard_space_welcome.keys,keyboard_space_welcome.rt,keyboard_space_welcome.duration,participant,gender,(corrected) normal vision,handedness,exp vse,session,skip_intro,date,expName,psychopyVersion,OS,frameRate,stimulus_exposure.started,stimulus_exposure.stopped,Block_intro.started,Block_intro.stopped,keyboard_space.keys,keyboard_space.rt,keyboard_space.duration,Stimulus.started,Stimulus.stopped,fixation_ending.started,fixation_ending.stopped,block_id,keyboard_response.keys,keyboard_response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,target_presence,target_position,background_emotion,target_emotion,keyboard_response.rt,keyboard_response.duration,Block_outro.started,Block_outro.stopped,keyboard_space_end.keys,keyboard_space_end.rt,keyboard_space_end.duration,Question_about_stimulus.started,Question_about_stimulus.stopped,textbox_response.text,button.numClicks,button.timesOn,button.timesOff,Thanks.started,Thanks.stopped,keyboard_space_goodbye.keys,keyboard_space_goodbye.rt,keyboard_space_goodbye.duration
0.0002,32.8554,space,32.8416,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,53.924,56.9304,56.9373,84.8478,space,27.8996,,85.8495,86.1057,86.1059,88.1048,practice1,,0,0,0,0,37,1,0,top_right,threatening,no_target,,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,89.1077,89.3638,89.3639,91.3638,practice1,,0,0,1,1,11,1,1,top_left,friendly,neutral,,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,92.3652,92.6221,92.6223,94.6219,practice1,,0,0,2,2,26,1,0,top_left,neutral,no_target,,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,95.6237,95.8802,95.8803,97.88,practice1,f,1,0,3,3,32,1,0,top_right,friendly,no_target,0.9011,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,98.8812,99.1305,99.1307,101.1304,practice1,,0,0,4,4,30,1,0,centre,friendly,no_target,,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,102.1309,102.3802,102.3803,104.3804,practice1,f,1,0,5,5,24,1,0,bottom_right,neutral,no_target,0.7349,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,105.3816,105.6303,105.6304,107.6303,practice1,j,1,0,6,6,17,1,1,top_right,threatening,neutral,0.4518,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,108.6318,108.8885,108.8886,110.8887,practice1,f,1,0,7,7,23,1,0,bottom_left,neutral,no_target,1.1495,,,,,,,,,,,,,,,,,
,,,,,554903,f,y,r,n,11,0,2025-04-03_18h50.40.517,VisualSearchFaces,2024.2.4,MacIntel,116.2790698,,,,,,,,111.8899,112.1469,112.1471,114.1469,practice1,j,1,0,8,8,14,1,1,bottom_right,friendly,neutral,0.758,,,,,,,,,,,,,,,,,
